,p-value,cell.line,DIP1,DIP2,div1,div2,dth1,dth2
91,0.017803874604800696,PC9.DS8,0.0009,0.0060999999999999995,0.026,0.027,0.025099999999999997,0.020900000000000002
92,0.006999492645366852,PC9.DS8,0.0009,0.0063,0.026,0.027,0.025099999999999997,0.0207
93,0.0785494183925488,PC9.DS8,0.0009,0.0065,0.026,0.027,0.025099999999999997,0.0205
94,0.00525775688788829,PC9.DS8,0.0009,0.006699999999999999,0.026,0.027,0.025099999999999997,0.0203
95,0.4055772927268074,PC9.DS8,0.0009,0.0069,0.026,0.027,0.025099999999999997,0.0201
96,0.005875147265409388,PC9.DS8,0.0009,0.0070999999999999995,0.026,0.027,0.025099999999999997,0.0199
97,0.0040228066314651634,PC9.DS8,0.0009,0.0073,0.026,0.027,0.025099999999999997,0.0197
98,0.0006238236842212052,PC9.DS8,0.0009,0.0075,0.026,0.027,0.025099999999999997,0.0195
99,0.002643175471504939,PC9.DS8,0.0011,0.0055,0.026,0.027,0.0249,0.0215
100,0.001732741823426406,PC9.DS8,0.0011,0.005699999999999999,0.026,0.027,0.0249,0.0213
101,0.0001917412779642886,PC9.DS8,0.0011,0.0059,0.026,0.027,0.0249,0.0211
102,0.09806950800575923,PC9.DS8,0.0011,0.0060999999999999995,0.026,0.027,0.0249,0.020900000000000002
103,0.11011836275924115,PC9.DS8,0.0011,0.0063,0.026,0.027,0.0249,0.0207
104,0.00713230093312154,PC9.DS8,0.0011,0.0065,0.026,0.027,0.0249,0.0205
105,0.00037499215347187826,PC9.DS8,0.0011,0.006699999999999999,0.026,0.027,0.0249,0.0203
106,0.0005514113239428188,PC9.DS8,0.0011,0.0069,0.026,0.027,0.0249,0.0201
107,0.014392329449421032,PC9.DS8,0.0011,0.0070999999999999995,0.026,0.027,0.0249,0.0199
108,0.088735868936218,PC9.DS8,0.0011,0.0073,0.026,0.027,0.0249,0.0197
109,0.0010693051557924087,PC9.DS8,0.0011,0.0075,0.026,0.027,0.0249,0.0195
110,0.0031114483159719627,PC9.DS8,0.0013,0.0055,0.026,0.027,0.0247,0.0215
111,0.010862882089347459,PC9.DS8,0.0013,0.005699999999999999,0.026,0.027,0.0247,0.0213
112,0.0009464700416946115,PC9.DS8,0.0013,0.0059,0.026,0.027,0.0247,0.0211
113,0.0015430114198802982,PC9.DS8,0.0013,0.0060999999999999995,0.026,0.027,0.0247,0.020900000000000002
114,0.005039102438507519,PC9.DS8,0.0013,0.0063,0.026,0.027,0.0247,0.0207
115,0.006665410778719202,PC9.DS8,0.0013,0.0065,0.026,0.027,0.0247,0.0205
116,0.012445010656835946,PC9.DS8,0.0013,0.006699999999999999,0.026,0.027,0.0247,0.0203
117,0.0025594562851608783,PC9.DS8,0.0013,0.0069,0.026,0.027,0.0247,0.0201
118,0.005685115183696886,PC9.DS8,0.0013,0.0070999999999999995,0.026,0.027,0.0247,0.0199
119,0.000707338183988721,PC9.DS8,0.0013,0.0073,0.026,0.027,0.0247,0.0197
120,0.004640619500066682,PC9.DS8,0.0013,0.0075,0.026,0.027,0.0247,0.0195
121,0.00014864936697433104,PC9.DS8,0.0015,0.0055,0.026,0.027,0.024499999999999997,0.0215
