,Type,Percent Resistant,Cells per Well,Wells per Plate,DIP Rates
205,resistant,0.001000,50,96,[ 0.03427633  0.03404668  0.03612516  0.03607277  0.03580172]
206,resistant,0.100000,10,1536,"[ 0.03585007  0.03526099  0.03512721  0.03527615  0.03564266  0.03825499
  0.03574719  0.03496709  0.036005    0.03577341  0.03650644  0.03635689
  0.03710929  0.03562905  0.03546603  0.03449931  0.03564775  0.03544435
  0.03543594  0.03530914  0.03433673  0.03584518  0.03441637  0.03519029
  0.03608112  0.03355768  0.02199354  0.03688652  0.03279923  0.03551677
  0.035961    0.03441419  0.03516939  0.03351395  0.03395671  0.03477735
  0.03106682  0.02546242  0.03472227  0.03211705  0.03461781  0.03485011
  0.03562506  0.0362099   0.03549194  0.02955326  0.03468499  0.04017858
  0.03538461  0.03917437  0.03581603  0.03460439  0.03427984  0.03559198
  0.03371468  0.03560343  0.03730307  0.0140362   0.03656348  0.03518801
  0.03558634  0.0344465   0.03531376  0.03463734  0.03588614  0.03412239
  0.03540834  0.03500232  0.03432574  0.03515897  0.03464563  0.03090501
  0.03531477  0.03455885  0.03390168  0.03634244  0.03441521  0.03453693
  0.03732456  0.03369265  0.0356501   0.03509706  0.03716348  0.03447261
  0.03744658  0.03446073  0.03120295  0.0343639   0.03505861  0.03443062
  0.0356515   0.03652089  0.03452738  0.03661082  0.03427761  0.03638964
  0.03317451  0.03487904  0.03531913  0.03547991  0.03599791  0.03591152
  0.0347251   0.0358344   0.03410032  0.03435414  0.03903321  0.0346077
  0.03353496  0.03799334  0.03398364  0.03351652  0.03545733  0.02895979
  0.03774947  0.03490155  0.03479829  0.03625627  0.03373831  0.03508629
  0.03452874  0.03392145  0.03441475  0.03472856  0.03505624  0.03031583
  0.03002458  0.0351525   0.03723087  0.03409691  0.03835911  0.03626349
  0.02685492  0.03643076  0.0367198   0.03756515  0.03602182  0.03543758
  0.03486493  0.03447566  0.03566897  0.03259191  0.03586653  0.03299667
  0.03327217  0.03539161  0.03573273  0.03546651  0.03292637  0.03515442
  0.03567886  0.03354833  0.03594685  0.03593303  0.03560048  0.03484182
  0.03495858  0.03571072  0.03486233  0.03446901  0.0359407   0.03641678
  0.03532856  0.03832952  0.03417726  0.03438843  0.03475024  0.03551117
  0.0312122   0.03287056  0.03262678  0.03429339  0.03598379  0.03512046
  0.03545284  0.03321124  0.03579712  0.03507238  0.02771334  0.03503899
  0.0367327   0.03361887  0.03515899  0.02934508  0.03368137  0.03579736
  0.03551598  0.03409862  0.03429998  0.04056754  0.03475376  0.0280862
  0.03480765  0.03762269  0.03777895  0.03713244  0.03571311  0.03538962
  0.03575109  0.03290906  0.03464847  0.03324552  0.03507788  0.03455228
  0.03789394  0.03565375  0.03328892  0.04461069  0.03357965  0.03961732
  0.03530012  0.03467732  0.03308188  0.033914    0.03552517  0.04183622
  0.0338441   0.03486728  0.03573549  0.03446285  0.03311231  0.03311966
  0.03627546  0.03096583  0.03724328  0.03421791  0.03600816  0.0358028
  0.03323343  0.03232755  0.03467476  0.03494148  0.03539626  0.03720327
  0.03689419  0.03559484  0.03670926  0.03724482  0.03714535  0.03545438
  0.0336228   0.03441461  0.03948424  0.0347195   0.03444799  0.0348869
  0.03320261  0.03453977  0.03363532  0.03418208  0.0350649   0.03544881
  0.03533808  0.03699489  0.0338196   0.03621372  0.0347587   0.03644554
  0.03526877  0.03428382  0.01490807  0.0354346   0.03529109  0.03831794
  0.03552336  0.03650412  0.03450901  0.03462562  0.0360985   0.03551746
  0.0307751   0.03553662  0.0354735   0.01758353  0.0367921   0.0342906
  0.0314528   0.03539902  0.0340089   0.04013719  0.03408571  0.03464321
  0.03357136  0.0349938   0.03440111  0.03655173  0.03705472  0.03464443
  0.03959333  0.03612077  0.03586639  0.03705654  0.03438157  0.03539653
  0.03483548  0.03229153  0.03429476  0.03452544  0.0350147   0.03632908
  0.03456124  0.03512945  0.03493778  0.03533992  0.0341219   0.03656818
  0.03481853  0.03224981  0.03584451  0.0342171   0.03611443  0.03428519
  0.03559592  0.03443929  0.03331407  0.03573478  0.03484098  0.03564996
  0.03457208  0.0346216   0.03815438  0.03353267  0.03714431  0.04406035
  0.03541302  0.03511444  0.03505213  0.03428485  0.03717903  0.03534907
  0.03624728  0.03478934  0.0358073   0.03738661  0.0350035   0.03431316
  0.0356373   0.03462006  0.03230193  0.03370153  0.03526249  0.03502327
  0.03335621  0.03341384  0.03680262  0.03670747  0.0353752   0.03651914
  0.03283465  0.03365463  0.03573054  0.03484637  0.03449497  0.03689987
  0.03456699  0.03718005  0.03715167  0.02700354  0.03512461  0.03448627
  0.03518207  0.03572736  0.03445708  0.03567472  0.03556095  0.03388555
  0.03671812  0.03337456  0.03637919  0.03748594  0.03481081  0.02956284
  0.03402574  0.03588273  0.03372999  0.03460413  0.03417482  0.03513904
  0.03302788  0.03434902  0.0353935   0.03602576  0.03472852  0.03271732
  0.03527697  0.03795896  0.03532251  0.032215    0.03458925  0.03514979
  0.03216345  0.03564969  0.03505516  0.03500722  0.03426028  0.03534055
  0.02687804  0.03484944  0.03413767  0.03353939  0.03504064  0.03570146
  0.03467864  0.03435846  0.03425099  0.03637065  0.03583604  0.03508046
  0.0365581   0.03497742  0.03464151  0.03477667  0.03148083  0.03449531
  0.0334741   0.03490425  0.03362684  0.03625543  0.03609346  0.03830658
  0.03546391  0.03498782  0.03394819  0.03430744  0.03343732  0.03563517
  0.03526815  0.03657644  0.03261736  0.03598682  0.03571501  0.03213401
  0.03588418  0.03499844  0.02978484  0.03870054  0.03277605  0.03443146
  0.0357577   0.03516148  0.03502102  0.03902504  0.03712938  0.03618473
  0.03609831  0.03565292  0.03549691  0.03578891  0.03329696  0.03456478
  0.03479686  0.04017482  0.03472666  0.03300362  0.0355337   0.03647325
  0.02177932  0.03121654  0.03478939  0.03504213  0.0337008   0.03432554
  0.03531412  0.03375893  0.03476464  0.0351672   0.03453243  0.03552681
  0.03331402  0.03457562  0.03724184  0.0332059   0.03388913  0.03686476
  0.03527597  0.03006085  0.03915934  0.03217472  0.03468646  0.0275043
  0.03502757  0.03414963  0.03629081  0.02019756  0.03549086  0.03348222
  0.03530241  0.03502998  0.04210219  0.03517854  0.02710096  0.0341883
  0.03499111  0.03535074  0.03475433  0.0361097   0.03401829  0.0346761
  0.03767668  0.03591202  0.03491469  0.03552764  0.03685334  0.03500857
  0.03324802  0.03391079  0.03309897  0.0352088   0.0328877   0.03630084
  0.0355814   0.03456019  0.03539794  0.03341044  0.03497451  0.03339081
  0.03561218  0.03379266  0.03382182  0.03438776  0.03406009  0.03544715
  0.03653078  0.03542045  0.03356467  0.03572681  0.03388266  0.03202414
  0.00805829  0.03313431  0.03486922  0.03611088  0.03461158  0.03483037
  0.0357793   0.03504036  0.03516551  0.03480997  0.03441409  0.03627928
  0.03648943  0.03501526  0.03787875  0.03571819  0.03588543  0.03406037
  0.03518902  0.03395318  0.0355123   0.03787714  0.03712523  0.02700285
  0.03599175  0.03507528  0.03286934  0.03498059  0.03407076  0.03538647
  0.03524231  0.03281837  0.03362318  0.03369258  0.03423762  0.03491417
  0.03540864  0.03466578  0.03348551  0.03313779  0.03399525  0.03551364
  0.03548902  0.03482967  0.03540526  0.03681278  0.03156326  0.03401543
  0.03375468  0.03486434  0.03355218  0.03496997  0.03720128  0.03667294
  0.03548708  0.03350275  0.03615692  0.03145079  0.03611167  0.03173116
  0.03673964  0.03421942  0.03584261  0.03516993  0.03558388  0.0346568
  0.03542992  0.03435512  0.03586591  0.03410087  0.03520388  0.03391478
  0.03537532  0.03531493  0.03473548  0.03514168  0.03394224  0.03634817
  0.03531542  0.03356561  0.03556054  0.03408468  0.03535141  0.0345731
  0.03814356  0.0349713   0.03280421  0.03510509  0.03747037  0.04271189
  0.03687879  0.0356787   0.03331879  0.03561784  0.0344201   0.03483038
  0.03292219  0.03427817  0.03203087  0.03685999  0.03859889  0.03499821
  0.03527635  0.03524957  0.03214931  0.0340832   0.03391123  0.03426372
  0.03547213  0.03558458  0.01656249  0.03594302  0.03478328  0.03610593
  0.03565809  0.03583804  0.03262026  0.03388064  0.0324947   0.03413187
  0.03271915  0.03451522  0.03389645  0.03618229  0.02164194  0.03315876
  0.03464701  0.03509824  0.03575806  0.03497208  0.03502192  0.03671852
  0.03554452  0.03472997  0.035233    0.03563624  0.03602034  0.03525216
  0.0392308   0.03187629  0.03768699  0.03620523  0.03532865  0.03476697
  0.03215987  0.03566654  0.03299092  0.0340534   0.03615313  0.03574843
  0.03505343  0.03475142  0.03589023  0.03028995  0.0331304   0.03458714
  0.03399007  0.03521013  0.03439528  0.03516014  0.03461178  0.03278719
  0.03436033  0.0345952   0.0348015   0.03673966  0.0347877   0.03443153
  0.03459062  0.03265001  0.03619676  0.03615273  0.03663478  0.035611
  0.03451164  0.0371885   0.03550351  0.03524351  0.03356358  0.03392639
  0.03443259  0.03974035  0.03594868  0.03513551  0.03000979  0.03372606
  0.03468694  0.03267695  0.03594368  0.02752844  0.03403978  0.03438695
  0.036335    0.03456802  0.03426232  0.03389947  0.03760775  0.03085844
  0.03538402  0.03840177  0.03505565  0.03465856  0.03289316  0.03243499
  0.03627075  0.03602003  0.0366163   0.03494715  0.03533837  0.03541923
  0.031908    0.03452706  0.03601702  0.03399801  0.0346001   0.03473235
  0.03561503  0.03405519  0.03509542  0.03567212  0.03418871  0.0362642
  0.03616821  0.03382891  0.03325995  0.03528082  0.03522448  0.0359531
  0.03517451  0.03868864  0.03838274  0.0228945   0.03471465  0.03476316
  0.0365628   0.03424272  0.03831448  0.03475785  0.03490676  0.03444429
  0.02842502  0.03539286  0.03543181  0.03721046  0.03422517  0.0348993
  0.03472347  0.03420912  0.03556145  0.03514883  0.03684224  0.03590894
  0.0353743   0.03520531  0.03537056  0.03460182  0.02668545  0.03443389
  0.03488669  0.03522162  0.03467745  0.03522635  0.03661467  0.0339128
  0.03661038  0.03483857  0.03565843  0.03494017  0.03667645  0.03504425
  0.03353515  0.03979231  0.03548693  0.03257481  0.03527386  0.03786652
  0.03093336  0.03365064  0.02917559  0.03123755  0.03551412  0.03405576
  0.03474719  0.03524179  0.03407948  0.03481058  0.03447478  0.03596386
  0.03717594  0.03421374  0.03490592  0.03449467  0.03605361  0.03450602
  0.03501794  0.03342494  0.03467766  0.03514496  0.03555684  0.0345009
  0.0350986   0.03141342  0.03593313  0.03194024  0.0326051   0.03429858
  0.03536894  0.03560378  0.03825889  0.03462506  0.0349442   0.03472291
  0.03501933  0.03469292  0.03542929  0.03177642  0.03546748  0.03422563
  0.03684696  0.03480305  0.03374455  0.03516013  0.03552572  0.03072166
  0.03559907  0.03668379  0.03463175  0.03508743  0.03311588  0.03482924
  0.03196763  0.03485804  0.03550163  0.03457997  0.03461707  0.03708922
  0.03539876  0.03647462  0.03482959  0.03298451  0.03454226  0.03514935
  0.03490459  0.03642051  0.03443969  0.03474187  0.03526496  0.03708315
  0.03467398  0.03951573  0.03664948  0.03155261  0.03478369  0.03574126
  0.03410896  0.03559059  0.03462761  0.03595299  0.03351572  0.03606148
  0.03493406  0.03676752  0.03037797  0.03634044  0.03899491  0.03402839]"
208,resistant,0.200000,100,384,"[ 0.03418773  0.03545338  0.03490944  0.03479303  0.03534715  0.03492239
  0.03523822  0.03505756  0.03526913  0.03536394  0.03497222  0.03466026
  0.03480988  0.03500466  0.03501375  0.03541146  0.03515394  0.03529086
  0.034641    0.0352904   0.03502301  0.0351564   0.03505843  0.03518923
  0.03500439  0.03537739  0.03473512  0.03520528  0.03531464  0.0352058
  0.03489595  0.03472715  0.03501833  0.03477343  0.0349103   0.03472792
  0.03510424  0.03524012  0.03455645  0.03493454  0.03530911  0.03472314
  0.03438221  0.03458329  0.03458463  0.03487542  0.03435784  0.03508239
  0.03478124  0.03488062  0.03472173  0.03367064  0.03478918  0.03502594
  0.03502491  0.03522213  0.03516712  0.03467897  0.0355629   0.03504602
  0.03516418  0.03552781  0.03512703  0.03484976  0.03444206  0.03521231
  0.03474547  0.0350078   0.03504166  0.03556954  0.03456426  0.03496657
  0.03530111  0.0353764   0.03546444  0.03484634  0.03416651  0.03400248
  0.03459998  0.03511175  0.03459428  0.03538751  0.03511397  0.03497939
  0.03529809  0.03489005  0.03401694  0.03525252  0.03503933  0.03504587
  0.03555896  0.03458588  0.0352235   0.03477411  0.03475563  0.0350289
  0.03531121  0.03508359  0.03510651  0.03486038  0.03441348  0.03531026
  0.035089    0.03501749  0.03522623  0.03517638  0.03549291  0.03485033
  0.03475448  0.03498214  0.0353084   0.03437613  0.03494506  0.03501464
  0.03470692  0.03484178  0.03485172  0.03520925  0.03458762  0.03481668
  0.03488395  0.03516503  0.03540894  0.03485398  0.03411412  0.03504814
  0.03531736  0.03468953  0.03550921  0.03469408  0.03467871  0.03487268
  0.03527812  0.03525429  0.0345234   0.03470362  0.03519473  0.03418003
  0.03478467  0.03482719  0.03474198  0.03464478  0.03497444  0.03501088
  0.03493737  0.03520318  0.03517532  0.03510256  0.03508853  0.03508691
  0.03499098  0.03518622  0.03507312  0.03550234  0.03557492  0.03552425
  0.03500618  0.0357105   0.0340026   0.03513213  0.03479308  0.03449415
  0.03556863  0.03530118  0.03511815  0.03486769  0.03499991  0.03520521
  0.03481613  0.03491407  0.03484587  0.03531269  0.03515284  0.03454749
  0.03520422  0.03446121  0.03532529  0.03536744  0.03506216  0.03506067
  0.03476129  0.03446917  0.03536319  0.0343989   0.03556069  0.03524308
  0.03461293  0.03406731  0.03517661  0.03496632  0.03482671  0.03484423
  0.03524578  0.0348686   0.03540934  0.03483619  0.03517205  0.03528789
  0.03527023  0.03547836  0.0352528   0.03507333  0.03497258  0.03504039
  0.03459325  0.03498491  0.03567809  0.03473331  0.03508971  0.0346489
  0.03555892  0.0349931   0.03491206  0.03530333  0.0352295   0.03529429
  0.0347774   0.03510126  0.03507572  0.03461551  0.03458496  0.03575931
  0.03479272  0.03481504  0.03468571  0.03508107  0.03455475  0.03451495
  0.03493907  0.03549298  0.03479361  0.03535875  0.03545676  0.03467112
  0.03514807  0.03481238  0.03525068  0.03503676  0.03501921  0.03454962
  0.03494748  0.0350463   0.03455008  0.03558302  0.03471456  0.03485321
  0.03498955  0.03499863  0.03526329  0.03567698  0.03487433  0.03513275
  0.03456547  0.03467402  0.03547659  0.03518681  0.03530485  0.03569004
  0.03526418  0.035061    0.03439907  0.03486485  0.03488177  0.03475816
  0.03485764  0.03476003  0.03509964  0.03504955  0.03500117  0.03541931
  0.03472683  0.03540531  0.03450421  0.03483622  0.03507715  0.03505216
  0.03475258  0.03515684  0.03531228  0.03505819  0.0352609   0.03457919
  0.03530606  0.03457866  0.03494402  0.03540015  0.03511138  0.03494952
  0.03486172  0.03557145  0.03509543  0.03495976  0.03534824  0.0350726
  0.03490572  0.03463338  0.03530225  0.03526761  0.03465735  0.03483827
  0.03523567  0.03518839  0.03501267  0.03500865  0.03484634  0.03482173
  0.03463351  0.03549726  0.03494588  0.03506366  0.03569246  0.03489626
  0.03490373  0.03479626  0.03477068  0.03517506  0.03466054  0.03515616
  0.03513204  0.03485308  0.03511368  0.03457853  0.03482393  0.03537045
  0.03524518  0.03498846  0.03547431  0.03507223  0.03468342  0.03500822
  0.03449753  0.03509345  0.03468755  0.03526499  0.0352245   0.0347635
  0.03405457  0.03489788  0.034593    0.03456302  0.03505576  0.03504355
  0.0357719   0.03486341  0.03486636  0.03492606  0.03498653  0.03506141
  0.03480407  0.03480357  0.03473488  0.03476781  0.03511858  0.03511547
  0.0351216   0.03464074  0.03448151  0.0344924   0.0349049   0.03516337
  0.03509654  0.03532531  0.03507651  0.03468554  0.03442716  0.03497639
  0.03527673  0.03484128  0.03430015  0.03465334  0.03502579  0.03511564
  0.03518395  0.03514643  0.03519521  0.03476922  0.03517062  0.03518971
  0.03480667  0.03429049  0.03534805  0.03506624  0.03502781  0.03488644]"
209,resistant,0.250000,100,1536,"[ 0.03481606  0.0350681   0.03500237 ...,  0.03514807  0.0353038
  0.03483534]"
211,resistant,0.001000,5,1536,[ 0.03527853  0.03286589  0.03363652]
215,resistant,0.000100,10,96,[]
218,resistant,0.000100,10,1536,[]
220,resistant,0.200000,25,384,"[ 0.03457476  0.03398452  0.0351698   0.03550874  0.03433545  0.03620688
  0.03526836  0.03541717  0.03467843  0.03569552  0.03510864  0.03470031
  0.03548895  0.03582689  0.03360042  0.03555987  0.0347934   0.03401019
  0.03520081  0.03492267  0.03336613  0.03522283  0.03438306  0.03466622
  0.0336985   0.03519042  0.03534749  0.0361226   0.03587435  0.03506256
  0.03472636  0.03473636  0.03401472  0.0349648   0.03465703  0.03494706
  0.03464493  0.0340754   0.03511222  0.03480588  0.03525722  0.03542695
  0.03614727  0.03474376  0.03332829  0.03717667  0.03488982  0.0352129
  0.03476974  0.03300527  0.03475221  0.03612492  0.03531217  0.03482509
  0.03681368  0.03520365  0.03563109  0.03399938  0.03502996  0.03431812
  0.03400212  0.03489375  0.03571462  0.03247397  0.03590427  0.03437828
  0.03505164  0.03569139  0.035933    0.03592018  0.03611528  0.03453549
  0.03503822  0.03475517  0.03492984  0.03480947  0.03539766  0.03551455
  0.03707016  0.03581459  0.03484594  0.0353268   0.03522066  0.03361049
  0.03490728  0.03167475  0.03496818  0.0346342   0.03447561  0.03495472
  0.03516516  0.03447425  0.03438092  0.03515365  0.03516623  0.03503769
  0.03607778  0.03459097  0.03459497  0.03647375  0.03489306  0.0372994
  0.03482202  0.03501841  0.03512108  0.0348956   0.03541287  0.03553191
  0.0348756   0.03472553  0.03585977  0.03599817  0.03500812  0.03651346
  0.03501361  0.03533588  0.03467169  0.03491392  0.03505119  0.03510732
  0.03447205  0.03466926  0.03492198  0.03553312  0.03441932  0.03501145
  0.03513573  0.03514304  0.03549494  0.03544722  0.03419623  0.03417752
  0.03483339  0.03430242  0.03637968  0.03573158  0.03513037  0.0354047
  0.03451114  0.03569086  0.03526356  0.03494899  0.03548747  0.03504045
  0.03629146  0.03235755  0.0364251   0.03539976  0.03510604  0.03525371
  0.03418383  0.03457735  0.03732486  0.03551042  0.03410411  0.03505087
  0.03591501  0.03507863  0.03362705  0.03499873  0.03377202  0.03549336
  0.03414339  0.03545492  0.03434481  0.03565848  0.0344559   0.03405349
  0.03592991  0.03487164  0.03484359  0.03560725  0.0357487   0.03501934
  0.03537895  0.03579444  0.03489823  0.03393975  0.03511411  0.03630966
  0.03319038  0.03523373  0.03510426  0.03535921  0.03511744  0.03460509
  0.03652152  0.03600547  0.03505818  0.03575999  0.03511675  0.03527948
  0.03506891  0.03508156  0.03552004  0.03548676  0.03653888  0.03437994
  0.03563144  0.03407116  0.03582799  0.03449012  0.03490269  0.03473898
  0.03515272  0.03554614  0.03473386  0.03489427  0.03449226  0.0353853
  0.03438951  0.03533642  0.03449272  0.03576035  0.03539998  0.03527236
  0.03435591  0.03562874  0.03559698  0.03399105  0.03446849  0.03604606
  0.0353379   0.03524658  0.03484064  0.03451607  0.03475597  0.03625691
  0.03613936  0.0357024   0.03406832  0.0351209   0.0330236   0.0349733
  0.03544619  0.03460114  0.03509148  0.03433136  0.03456814  0.03459796
  0.03202826  0.03408305  0.03328727  0.03640654  0.0353847   0.03459304
  0.03464566  0.03232353  0.03455939  0.03501466  0.03483495  0.03490437
  0.03513357  0.0357671   0.03485383  0.03533363  0.03464893  0.03528837
  0.03655211  0.03429926  0.03425398  0.03494162  0.03515549  0.03530119
  0.03419442  0.03350938  0.03612923  0.0350524   0.03543329  0.0354004
  0.03482157  0.03759788  0.03368943  0.03590763  0.03389907  0.03550008
  0.03554504  0.03464611  0.03500409  0.03428947  0.03377109  0.03530427
  0.03597009  0.0360632   0.03474693  0.03594704  0.03535199  0.034415
  0.03585007  0.03397973  0.03420661  0.03549403  0.03458026  0.03499261
  0.03294232  0.03555232  0.03382436  0.03427169  0.03494989  0.03500135
  0.03320848  0.03547505  0.03434751  0.03557665  0.0344862   0.0354324
  0.03452919  0.0360108   0.03552608  0.03482216  0.03499806  0.03532701
  0.03468296  0.03478305  0.03547161  0.03403097  0.03371052  0.03539165
  0.03513284  0.03534745  0.03137094  0.03509292  0.0335944   0.03527006
  0.0347697   0.03513799  0.03479184  0.03547052  0.03573819  0.0357746
  0.03539603  0.03523189  0.03526194  0.03457664  0.03464326  0.03537073
  0.03454269  0.03543674  0.03352014  0.03710544  0.0345219   0.0343074
  0.03389401  0.03502564  0.03438312  0.03521547  0.03505964  0.03554369
  0.03460117  0.03523847  0.03393638  0.03439808  0.03590633  0.0345905
  0.0350086   0.03515964  0.03387595  0.03416561  0.03484557  0.03502064
  0.03645253  0.03626966  0.03450399  0.03522088  0.03481076  0.03474407
  0.03621371  0.0347874   0.03449852  0.03468237  0.03471666  0.03476204
  0.03596258  0.03459937  0.03658015  0.03676204  0.03521728  0.03382103
  0.03388152  0.0355098 ]"
221,resistant,0.200000,50,96,"[ 0.03531643  0.03502615  0.03500606  0.03474524  0.03572813  0.03426939
  0.03451539  0.0344847   0.03511165  0.03527451  0.0355031   0.03519697
  0.03497619  0.03476091  0.03491026  0.03500019  0.03476338  0.03547118
  0.03519411  0.03559449  0.03535102  0.03570461  0.03525726  0.03546648
  0.03507444  0.03530967  0.03418197  0.03521753  0.03527592  0.03542516
  0.03482158  0.03548023  0.03528493  0.03461727  0.0333794   0.03512021
  0.03471725  0.03460744  0.03493127  0.03512939  0.0351763   0.03506371
  0.03458351  0.03485373  0.03468685  0.03556479  0.03503937  0.03382108
  0.03516699  0.03486831  0.03489217  0.03666495  0.03475788  0.03547717
  0.03522499  0.03454523  0.03519532  0.03485649  0.03442396  0.03508
  0.03404899  0.03515414  0.03500434  0.03552997  0.03510651  0.03501787
  0.03528989  0.03469801  0.03476543  0.03613857  0.03509456  0.03500703
  0.0357751   0.03535601  0.03533889  0.03579189  0.03495631  0.03456933
  0.03616723  0.03487768  0.03500961  0.03467921  0.03504361  0.03481703
  0.03592801  0.03497833  0.03445001  0.03503557  0.0350454   0.03455891
  0.03548496  0.03514088  0.03517449  0.03497114  0.03497318  0.0342419 ]"
222,resistant,0.000001,100,96,[]
223,resistant,0.200000,10,96,"[ 0.03478885  0.03393635  0.03519125  0.03565693  0.02992904  0.03338715
  0.0339496   0.0331342   0.03573366  0.03585057  0.03534515  0.03338217
  0.03612724  0.03577613  0.02401499  0.03974903  0.03995734  0.03474955
  0.02512197  0.0371619   0.03461989  0.03618054  0.03554732  0.035522
  0.03524119  0.03815428  0.0348023   0.03047846  0.03396452  0.03678219
  0.0358945   0.03589293  0.01920298  0.034548    0.03352393  0.03498092
  0.03426992  0.03577779  0.03468939  0.03499691  0.03515015  0.03382668
  0.03502895  0.03393925  0.02137501  0.03418388  0.03617793  0.03421019
  0.0351399   0.03517645  0.03657569  0.03704428  0.03454936  0.03214171
  0.03249105  0.03590198  0.03617789  0.03534516  0.03533875  0.03436938
  0.03766078  0.0357594   0.03440677  0.03420822  0.03796248  0.035382
  0.03666003  0.03464602  0.03637785  0.03395068  0.03553273  0.03581788
  0.03451343  0.03481883  0.03583734  0.03768416  0.03585269]"
224,resistant,0.200000,5,384,"[ 0.03710054  0.03844136  0.03558091  0.03550318  0.02868838  0.03504178
  0.03512656  0.02869078  0.03205363  0.03230847  0.03524525  0.03620478
  0.03553576  0.03444062  0.03773952  0.03505434  0.03601711  0.03480603
  0.03517766  0.03481534  0.03344581  0.03550362  0.03536084  0.03484483
  0.03335211  0.0336823   0.03494354  0.03727325  0.03665317  0.03454111
  0.03434761  0.0343754   0.03356705  0.02994851  0.03505733  0.03030048
  0.03425229  0.0344089   0.00996282  0.03103486  0.03560191  0.03609354
  0.03315163  0.03461145  0.03502733  0.03452262  0.03474706  0.0378847
  0.03421105  0.03518517  0.03378434  0.03811782  0.0384828   0.03094595
  0.03655414  0.03475106  0.0345054   0.03530789  0.03460518  0.03455216
  0.03672516  0.03416524  0.03349117  0.03332799  0.03714202  0.03353316
  0.03444144  0.03433992  0.03722663  0.03566926  0.03784398  0.03451114
  0.03687241  0.03493549  0.03450568  0.03984401  0.03628236  0.03512087
  0.03656641  0.03521331  0.03491983  0.03694977  0.03468383  0.03220592
  0.03381108  0.03345109  0.03582822  0.03610836  0.0369528   0.03450058
  0.03477689  0.0383561   0.0336155   0.03652402  0.03415419  0.03335274
  0.03434582  0.03623813  0.02551744  0.03462477  0.03370222  0.03555698
  0.03586163  0.03442615  0.03419546  0.03410342  0.03519565  0.03080723
  0.03467958  0.03908623  0.03539278  0.03307265  0.03495979  0.03385905
  0.03467732  0.03615161  0.03394327  0.03844551  0.03526354  0.03458371
  0.03152446  0.03536102  0.0357917   0.03668367  0.03350491  0.0346132
  0.03593748  0.03555451  0.03642254  0.02867893  0.03569001  0.03539255
  0.03515154  0.03201811  0.03091392  0.03484332  0.03694576  0.04501946
  0.03422196  0.03386209  0.03501778  0.03487831  0.03582124  0.03514867
  0.03657898  0.0326685   0.03444752  0.03506824  0.03403533  0.03575372
  0.03496282  0.03369292  0.03669524  0.03110739  0.03495195  0.03627515
  0.03379136  0.          0.03515154  0.03557052  0.03450649  0.03527312
  0.03365779  0.03125416  0.03441054  0.03475039  0.03398973  0.03447499
  0.03519135  0.0363787   0.03517154  0.03097986  0.03739397  0.03521206
  0.03735804  0.03258924  0.035128    0.03510757  0.03609688  0.03504986
  0.03362194  0.03607734  0.03538508  0.0354318   0.03368088  0.03526735
  0.03435058  0.03388761  0.03426967  0.03490831  0.03697828  0.03596494
  0.03562633  0.03480645  0.03665825  0.03533268  0.03535011  0.0373991
  0.03432529  0.03546445  0.03412452  0.0327186   0.03542328  0.03473793
  0.03671053  0.03502092  0.03498834  0.03780124  0.03466076  0.03577353
  0.03577498  0.03359384  0.0372709   0.03430777  0.03563707  0.03070924
  0.03422936  0.03425866  0.03570686  0.03531701  0.03677866  0.03302685]"
225,resistant,0.500000,50,1536,"[ 0.03486697  0.0349229   0.03527693 ...,  0.03500832  0.03500286
  0.03469334]"
