,DIP1,DIP2
125,0.0015,0.0063
126,0.0015,0.0065
127,0.0015,0.006699999999999999
128,0.0015,0.0069
129,0.0015,0.0070999999999999995
130,0.0015,0.0073
131,0.0015,0.0075
132,0.0005,0.0055
133,0.0005,0.005699999999999999
134,0.0005,0.0059
135,0.0005,0.0060999999999999995
136,0.0005,0.0063
137,0.0005,0.0065
138,0.0005,0.006699999999999999
139,0.0005,0.0069
140,0.0005,0.0070999999999999995
141,0.0005,0.0073
142,0.0005,0.0075
143,0.0007,0.0055
144,0.0007,0.005699999999999999
145,0.0007,0.0059
146,0.0007,0.0060999999999999995
147,0.0007,0.0063
148,0.0007,0.0065
149,0.0007,0.006699999999999999
150,0.0007,0.0069
151,0.0007,0.0070999999999999995
152,0.0007,0.0073
153,0.0007,0.0075
154,0.0009,0.0055
155,0.0009,0.005699999999999999
156,0.0009,0.0059
157,0.0009,0.0060999999999999995
158,0.0009,0.0063
159,0.0009,0.0065
160,0.0009,0.006699999999999999
161,0.0009,0.0069
162,0.0009,0.0070999999999999995
163,0.0009,0.0073
164,0.0009,0.0075
165,0.0011,0.0055
166,0.0011,0.005699999999999999
167,0.0011,0.0059
168,0.0011,0.0060999999999999995
169,0.0011,0.0063
170,0.0011,0.0065
171,0.0011,0.006699999999999999
172,0.0011,0.0069
173,0.0011,0.0070999999999999995
174,0.0011,0.0073
175,0.0011,0.0075
176,0.0013,0.0055
177,0.0013,0.005699999999999999
178,0.0013,0.0059
179,0.0013,0.0060999999999999995
180,0.0013,0.0063
181,0.0013,0.0065
182,0.0013,0.006699999999999999
183,0.0013,0.0069
184,0.0013,0.0070999999999999995
185,0.0013,0.0073
186,0.0013,0.0075
187,0.0015,0.0055
188,0.0015,0.005699999999999999
189,0.0015,0.0059
190,0.0015,0.0060999999999999995
191,0.0015,0.0063
192,0.0015,0.0065
193,0.0015,0.006699999999999999
194,0.0015,0.0069
195,0.0015,0.0070999999999999995
196,0.0015,0.0073
197,0.0015,0.0075
198,0.0005,0.0055
199,0.0005,0.005699999999999999
200,0.0005,0.0059
201,0.0005,0.0060999999999999995
202,0.0005,0.0063
203,0.0005,0.0065
204,0.0005,0.006699999999999999
205,0.0005,0.0069
206,0.0005,0.0070999999999999995
207,0.0005,0.0073
208,0.0005,0.0075
209,0.0007,0.0055
210,0.0007,0.005699999999999999
211,0.0007,0.0059
212,0.0007,0.0060999999999999995
213,0.0007,0.0063
214,0.0007,0.0065
215,0.0007,0.006699999999999999
216,0.0007,0.0069
217,0.0007,0.0070999999999999995
218,0.0007,0.0073
219,0.0007,0.0075
220,0.0009,0.0055
221,0.0009,0.005699999999999999
222,0.0009,0.0059
223,0.0009,0.0060999999999999995
224,0.0009,0.0063
225,0.0009,0.0065
226,0.0009,0.006699999999999999
227,0.0009,0.0069
228,0.0009,0.0070999999999999995
229,0.0009,0.0073
230,0.0009,0.0075
231,0.0011,0.0055
232,0.0011,0.005699999999999999
233,0.0011,0.0059
234,0.0011,0.0060999999999999995
235,0.0011,0.0063
236,0.0011,0.0065
237,0.0011,0.006699999999999999
238,0.0011,0.0069
239,0.0011,0.0070999999999999995
240,0.0011,0.0073
241,0.0011,0.0075
242,0.0013,0.0055
243,0.0013,0.005699999999999999
244,0.0013,0.0059
245,0.0013,0.0060999999999999995
246,0.0013,0.0063
247,0.0013,0.0065
248,0.0013,0.006699999999999999
249,0.0013,0.0069
250,0.0013,0.0070999999999999995
251,0.0013,0.0073
252,0.0013,0.0075
253,0.0015,0.0055
254,0.0015,0.005699999999999999
255,0.0015,0.0059
256,0.0015,0.0060999999999999995
257,0.0015,0.0063
258,0.0015,0.0065
259,0.0015,0.006699999999999999
260,0.0015,0.0069
261,0.0015,0.0070999999999999995
262,0.0015,0.0073
263,0.0015,0.0075
264,0.0005,0.0055
265,0.0005,0.005699999999999999
266,0.0005,0.0059
267,0.0005,0.0060999999999999995
268,0.0005,0.0063
269,0.0005,0.0065
270,0.0005,0.006699999999999999
271,0.0005,0.0069
272,0.0005,0.0070999999999999995
273,0.0005,0.0073
274,0.0005,0.0075
275,0.0007,0.0055
276,0.0007,0.005699999999999999
277,0.0007,0.0059
278,0.0007,0.0060999999999999995
279,0.0007,0.0063
280,0.0007,0.0065
281,0.0007,0.006699999999999999
282,0.0007,0.0069
283,0.0007,0.0070999999999999995
284,0.0007,0.0073
285,0.0007,0.0075
