,p-value,cell.line,DIP Rate,Division Rate,Death Rate,param.pair,Cell Line
119,1.1112326959973768e-26,not.assigned,-0.001,0.027,0.028,119,not.assigned
120,1.2837704144089613e-05,not.assigned,0.0,0.027,0.027,120,not.assigned
121,1.240850963043683e-10,not.assigned,0.0,0.027,0.027,121,not.assigned
122,1.9492186811316432e-07,not.assigned,0.0,0.027,0.027,122,not.assigned
123,1.9422610470892524e-05,not.assigned,0.001,0.027,0.026,123,not.assigned
124,0.011616366293061252,not.assigned,0.001,0.027,0.026,124,not.assigned
125,0.03694125990684913,not.assigned,0.001,0.027,0.026,125,not.assigned
126,1.2035325419852556e-20,not.assigned,-0.001,0.027,0.028,126,not.assigned
127,1.993117407838363e-17,not.assigned,-0.001,0.027,0.028,127,not.assigned
128,1.6278317439645486e-24,not.assigned,-0.001,0.027,0.028,128,not.assigned
129,1.1791083200498445e-07,not.assigned,0.0,0.027,0.027,129,not.assigned
130,2.1343232883989015e-10,not.assigned,0.0,0.027,0.027,130,not.assigned
131,1.2978037728131372e-06,not.assigned,0.0,0.027,0.027,131,not.assigned
132,3.935728307722153e-05,not.assigned,0.001,0.027,0.026,132,not.assigned
133,0.0002775345792230621,not.assigned,0.001,0.027,0.026,133,not.assigned
134,0.007399395482752817,not.assigned,0.001,0.027,0.026,134,not.assigned
135,4.285634891093202e-25,not.assigned,-0.001,0.027,0.028,135,not.assigned
136,1.8854393978610872e-25,not.assigned,-0.001,0.027,0.028,136,not.assigned
137,1.0115827431136443e-15,not.assigned,-0.001,0.027,0.028,137,not.assigned
138,2.051410425478913e-06,not.assigned,0.0,0.027,0.027,138,not.assigned
139,9.137440612827937e-08,not.assigned,0.0,0.027,0.027,139,not.assigned
140,1.0303637798784706e-05,not.assigned,0.0,0.027,0.027,140,not.assigned
141,1.0723580375726486e-05,not.assigned,0.001,0.027,0.026,141,not.assigned
142,0.0006278499096442446,not.assigned,0.001,0.027,0.026,142,not.assigned
143,0.00011610907969818784,not.assigned,0.001,0.027,0.026,143,not.assigned
0,1.211729620179768e-24,not.assigned,0.005,0.024,0.019,0,not.assigned
1,2.6266708090903167e-22,not.assigned,0.006,0.024,0.018000000000000002,1,not.assigned
2,5.366761141933774e-28,not.assigned,0.007,0.024,0.017,2,not.assigned
3,6.0483119336201325e-06,not.assigned,0.005,0.024,0.019,3,not.assigned
4,1.284592933624992e-06,not.assigned,0.006,0.024,0.018000000000000002,4,not.assigned
5,9.692860321888807e-08,not.assigned,0.007,0.024,0.017,5,not.assigned
6,0.00016177460066768898,not.assigned,0.005,0.024,0.019,6,not.assigned
7,0.0003605385595346731,not.assigned,0.006,0.024,0.018000000000000002,7,not.assigned
8,0.014309531816213134,not.assigned,0.007,0.024,0.017,8,not.assigned
9,4.288398436769559e-25,not.assigned,0.005,0.025,0.02,9,not.assigned
10,1.1691447956255677e-22,not.assigned,0.006,0.025,0.019000000000000003,10,not.assigned
11,4.0627515748390088e-22,not.assigned,0.007,0.025,0.018000000000000002,11,not.assigned
12,1.328958934258505e-09,not.assigned,0.005,0.025,0.02,12,not.assigned
13,8.688229598566316e-10,not.assigned,0.006,0.025,0.019000000000000003,13,not.assigned
14,1.967695325813108e-06,not.assigned,0.007,0.025,0.018000000000000002,14,not.assigned
15,4.15740217807798e-05,not.assigned,0.005,0.025,0.02,15,not.assigned
16,0.05411071658297246,not.assigned,0.006,0.025,0.019000000000000003,16,not.assigned
17,0.001732741823426406,not.assigned,0.007,0.025,0.018000000000000002,17,not.assigned
18,1.9710197549596293e-25,not.assigned,0.005,0.026,0.020999999999999998,18,not.assigned
19,2.130183122947621e-23,not.assigned,0.006,0.026,0.019999999999999997,19,not.assigned
20,2.071613497098375e-25,not.assigned,0.007,0.026,0.019,20,not.assigned
21,6.7289701704646574e-09,not.assigned,0.005,0.026,0.020999999999999998,21,not.assigned
22,5.179225253267716e-06,not.assigned,0.006,0.026,0.019999999999999997,22,not.assigned
23,1.1652028842181036e-08,not.assigned,0.007,0.026,0.019,23,not.assigned
24,6.083670799333704e-05,not.assigned,0.005,0.026,0.020999999999999998,24,not.assigned
25,0.00426677245684409,not.assigned,0.006,0.026,0.019999999999999997,25,not.assigned
26,0.0015746955791535646,not.assigned,0.007,0.026,0.019,26,not.assigned
27,1.1098452051586646e-24,not.assigned,0.005,0.027,0.022,27,not.assigned
28,2.0479454899186353e-24,not.assigned,0.006,0.027,0.020999999999999998,28,not.assigned
29,1.8374057253760057e-26,not.assigned,0.007,0.027,0.02,29,not.assigned
30,1.5975016942571514e-12,not.assigned,0.005,0.027,0.022,30,not.assigned
31,1.5325279222073213e-12,not.assigned,0.006,0.027,0.020999999999999998,31,not.assigned
32,6.333553313006138e-06,not.assigned,0.007,0.027,0.02,32,not.assigned
33,6.290407409533261e-06,not.assigned,0.005,0.027,0.022,33,not.assigned
34,0.026199496512306415,not.assigned,0.006,0.027,0.020999999999999998,34,not.assigned
35,0.00048261654877988937,not.assigned,0.007,0.027,0.02,35,not.assigned
36,1.2188960797774677e-24,not.assigned,0.005,0.024,0.019,36,not.assigned
37,7.996743634939892e-25,not.assigned,0.006,0.024,0.018000000000000002,37,not.assigned
38,6.2961791348590796e-30,not.assigned,0.007,0.024,0.017,38,not.assigned
39,2.099383937083423e-06,not.assigned,0.005,0.024,0.019,39,not.assigned
40,4.722030444959411e-09,not.assigned,0.006,0.024,0.018000000000000002,40,not.assigned
41,5.693924546017472e-10,not.assigned,0.007,0.024,0.017,41,not.assigned
42,5.672922049166655e-05,not.assigned,0.005,0.024,0.019,42,not.assigned
43,0.01948496355925677,not.assigned,0.006,0.024,0.018000000000000002,43,not.assigned
44,0.010890065528233704,not.assigned,0.007,0.024,0.017,44,not.assigned
45,5.277053013070293e-21,not.assigned,0.005,0.025,0.02,45,not.assigned
46,1.3209670483783709e-19,not.assigned,0.006,0.025,0.019000000000000003,46,not.assigned
47,4.952128537461735e-22,not.assigned,0.007,0.025,0.018000000000000002,47,not.assigned
48,7.988169484461956e-10,not.assigned,0.005,0.025,0.02,48,not.assigned
49,2.318262492205224e-05,not.assigned,0.006,0.025,0.019000000000000003,49,not.assigned
50,3.5986809191300614e-06,not.assigned,0.007,0.025,0.018000000000000002,50,not.assigned
51,0.0001234589636970753,not.assigned,0.005,0.025,0.02,51,not.assigned
52,3.137365396491482e-06,not.assigned,0.006,0.025,0.019000000000000003,52,not.assigned
53,0.023718992434402727,not.assigned,0.007,0.025,0.018000000000000002,53,not.assigned
54,9.534341018516539e-20,not.assigned,0.005,0.026,0.020999999999999998,54,not.assigned
55,3.361660304537719e-20,not.assigned,0.006,0.026,0.019999999999999997,55,not.assigned
56,6.705963302766913e-24,not.assigned,0.007,0.026,0.019,56,not.assigned
57,4.880059607812443e-09,not.assigned,0.005,0.026,0.020999999999999998,57,not.assigned
58,1.1054303193242002e-05,not.assigned,0.006,0.026,0.019999999999999997,58,not.assigned
59,3.422275809424146e-08,not.assigned,0.007,0.026,0.019,59,not.assigned
60,0.00025148461067608946,not.assigned,0.005,0.026,0.020999999999999998,60,not.assigned
61,0.012804727905580522,not.assigned,0.006,0.026,0.019999999999999997,61,not.assigned
62,0.04759257412992572,not.assigned,0.007,0.026,0.019,62,not.assigned
63,5.04193993362075e-22,not.assigned,0.005,0.027,0.022,63,not.assigned
64,7.440459199687362e-18,not.assigned,0.006,0.027,0.020999999999999998,64,not.assigned
65,2.619656024923299e-22,not.assigned,0.007,0.027,0.02,65,not.assigned
66,4.7965760070900143e-11,not.assigned,0.005,0.027,0.022,66,not.assigned
67,6.482163834378473e-07,not.assigned,0.006,0.027,0.020999999999999998,67,not.assigned
68,1.3027183832671527e-10,not.assigned,0.007,0.027,0.02,68,not.assigned
69,2.0089959703867066e-05,not.assigned,0.005,0.027,0.022,69,not.assigned
70,0.01683407327834288,not.assigned,0.006,0.027,0.020999999999999998,70,not.assigned
71,0.00033650351119111715,not.assigned,0.007,0.027,0.02,71,not.assigned
72,1.9700461100186514e-24,not.assigned,0.005,0.024,0.019,72,not.assigned
73,1.860240588814179e-23,not.assigned,0.006,0.024,0.018000000000000002,73,not.assigned
74,1.4466115709835357e-23,not.assigned,0.007,0.024,0.017,74,not.assigned
75,5.128755268489158e-11,not.assigned,0.005,0.024,0.019,75,not.assigned
76,1.4383819424717357e-07,not.assigned,0.006,0.024,0.018000000000000002,76,not.assigned
77,3.9328959898720075e-06,not.assigned,0.007,0.024,0.017,77,not.assigned
78,2.4465522620723496e-06,not.assigned,0.005,0.024,0.019,78,not.assigned
79,0.005341137533038907,not.assigned,0.006,0.024,0.018000000000000002,79,not.assigned
80,0.009663210030581064,not.assigned,0.007,0.024,0.017,80,not.assigned
81,1.2546478949238496e-27,not.assigned,0.005,0.025,0.02,81,not.assigned
82,2.994226141530237e-20,not.assigned,0.006,0.025,0.019000000000000003,82,not.assigned
83,4.5651058536774596e-21,not.assigned,0.007,0.025,0.018000000000000002,83,not.assigned
84,5.26377160428559e-10,not.assigned,0.005,0.025,0.02,84,not.assigned
85,2.2480944123775344e-07,not.assigned,0.006,0.025,0.019000000000000003,85,not.assigned
86,1.2661345580577615e-10,not.assigned,0.007,0.025,0.018000000000000002,86,not.assigned
87,7.516899115892269e-06,not.assigned,0.005,0.025,0.02,87,not.assigned
88,0.001897010378338022,not.assigned,0.006,0.025,0.019000000000000003,88,not.assigned
89,0.014105067506936634,not.assigned,0.007,0.025,0.018000000000000002,89,not.assigned
90,1.8217448138511344e-21,not.assigned,0.005,0.026,0.020999999999999998,90,not.assigned
91,6.399704141402234e-23,not.assigned,0.006,0.026,0.019999999999999997,91,not.assigned
92,1.2457005411599404e-24,not.assigned,0.007,0.026,0.019,92,not.assigned
93,6.301155662322333e-05,not.assigned,0.005,0.026,0.020999999999999998,93,not.assigned
94,1.2381655669477903e-08,not.assigned,0.006,0.026,0.019999999999999997,94,not.assigned
95,1.6624625211226534e-06,not.assigned,0.007,0.026,0.019,95,not.assigned
96,1.1416616934077101e-05,not.assigned,0.005,0.026,0.020999999999999998,96,not.assigned
97,0.021966245774621744,not.assigned,0.006,0.026,0.019999999999999997,97,not.assigned
98,0.0031737575872431306,not.assigned,0.007,0.026,0.019,98,not.assigned
99,9.071134329744584e-21,not.assigned,0.005,0.027,0.022,99,not.assigned
100,1.8651407349862732e-24,not.assigned,0.006,0.027,0.020999999999999998,100,not.assigned
101,1.7665679058226194e-20,not.assigned,0.007,0.027,0.02,101,not.assigned
102,1.5230210949627918e-05,not.assigned,0.005,0.027,0.022,102,not.assigned
103,1.498661045669753e-08,not.assigned,0.006,0.027,0.020999999999999998,103,not.assigned
104,3.5378771715505696e-06,not.assigned,0.007,0.027,0.02,104,not.assigned
105,0.00013360321598444727,not.assigned,0.005,0.027,0.022,105,not.assigned
106,0.08734022485556556,not.assigned,0.006,0.027,0.020999999999999998,106,not.assigned
107,0.00169072561032585,not.assigned,0.007,0.027,0.02,107,not.assigned
108,8.122463204224718e-21,not.assigned,0.005,0.024,0.019,108,not.assigned
109,3.221145726145816e-24,not.assigned,0.006,0.024,0.018000000000000002,109,not.assigned
110,1.9385766681855815e-25,not.assigned,0.007,0.024,0.017,110,not.assigned
111,1.5815628340709713e-10,not.assigned,0.005,0.024,0.019,111,not.assigned
112,1.0579622813315244e-07,not.assigned,0.006,0.024,0.018000000000000002,112,not.assigned
113,1.3057437519091584e-06,not.assigned,0.007,0.024,0.017,113,not.assigned
114,5.924513238542707e-05,not.assigned,0.005,0.024,0.019,114,not.assigned
115,0.002536702424110559,not.assigned,0.006,0.024,0.018000000000000002,115,not.assigned
116,0.030393143651915547,not.assigned,0.007,0.024,0.017,116,not.assigned
117,2.756397239048483e-23,not.assigned,0.005,0.025,0.02,117,not.assigned
118,8.176766587188224e-21,not.assigned,0.006,0.025,0.019000000000000003,118,not.assigned
119,1.1112326959973768e-26,not.assigned,0.007,0.025,0.018000000000000002,119,not.assigned
120,1.2837704144089613e-05,not.assigned,0.005,0.025,0.02,120,not.assigned
121,1.240850963043683e-10,not.assigned,0.006,0.025,0.019000000000000003,121,not.assigned
122,1.9492186811316432e-07,not.assigned,0.007,0.025,0.018000000000000002,122,not.assigned
123,1.9422610470892524e-05,not.assigned,0.005,0.025,0.02,123,not.assigned
124,0.011616366293061252,not.assigned,0.006,0.025,0.019000000000000003,124,not.assigned
125,0.03694125990684913,not.assigned,0.007,0.025,0.018000000000000002,125,not.assigned
126,1.2035325419852556e-20,not.assigned,0.005,0.026,0.020999999999999998,126,not.assigned
