,p-value,cell.line,DIP Rate,Division Rate,Death Rate,param.pair,Cell Line
84,9.822293615801807e-07,not.assigned,0.005,0.025,0.02,84,not.assigned
85,7.769715865631846e-11,not.assigned,0.006,0.025,0.019000000000000003,85,not.assigned
86,1.3169292707147314e-09,not.assigned,0.007,0.025,0.018000000000000002,86,not.assigned
87,4.485973878533688e-05,not.assigned,0.005,0.025,0.02,87,not.assigned
88,0.3221179604838373,PC9-DS8,0.006,0.025,0.019000000000000003,88,PC9-DS8.2
89,0.09170792778360741,not.assigned,0.007,0.025,0.018000000000000002,89,not.assigned
90,5.123422232683502e-16,not.assigned,0.005,0.026,0.020999999999999998,90,not.assigned
91,3.5887933346375374e-22,not.assigned,0.006,0.026,0.019999999999999997,91,not.assigned
92,1.125214262087071e-16,not.assigned,0.007,0.026,0.019,92,not.assigned
93,1.485118065422499e-05,not.assigned,0.005,0.026,0.020999999999999998,93,not.assigned
94,8.393906075076337e-06,not.assigned,0.006,0.026,0.019999999999999997,94,not.assigned
95,4.872127517474896e-07,not.assigned,0.007,0.026,0.019,95,not.assigned
96,0.0002323393285560741,not.assigned,0.005,0.026,0.020999999999999998,96,not.assigned
97,0.018793072225221044,not.assigned,0.006,0.026,0.019999999999999997,97,not.assigned
98,0.024103827251956523,not.assigned,0.007,0.026,0.019,98,not.assigned
99,3.176458349043231e-18,not.assigned,0.005,0.027,0.022,99,not.assigned
100,1.4990600652386315e-12,not.assigned,0.006,0.027,0.020999999999999998,100,not.assigned
101,3.8267225092673867e-19,not.assigned,0.007,0.027,0.02,101,not.assigned
102,4.306055427898594e-09,not.assigned,0.005,0.027,0.022,102,not.assigned
103,1.5830835450802943e-09,not.assigned,0.006,0.027,0.020999999999999998,103,not.assigned
104,1.1231101732272928e-05,not.assigned,0.007,0.027,0.02,104,not.assigned
105,0.00028670020426448584,not.assigned,0.005,0.027,0.022,105,not.assigned
106,0.00029666110308983803,not.assigned,0.006,0.027,0.020999999999999998,106,not.assigned
107,0.03140572719631002,not.assigned,0.007,0.027,0.02,107,not.assigned
108,4.216125970494645e-20,not.assigned,0.005,0.024,0.019,108,not.assigned
109,1.9050911829726295e-17,not.assigned,0.006,0.024,0.018000000000000002,109,not.assigned
110,7.18009687429161e-17,not.assigned,0.007,0.024,0.017,110,not.assigned
111,1.5622873897621675e-08,not.assigned,0.005,0.024,0.019,111,not.assigned
112,2.177863107527038e-07,not.assigned,0.006,0.024,0.018000000000000002,112,not.assigned
113,1.381266887252539e-06,not.assigned,0.007,0.024,0.017,113,not.assigned
