,p-value,cell.line,DIP1,DIP2,div1,div2,dth1,dth2
1261,0.00568369958802814,PC9.DS8,0.0005,0.0069,0.024,0.025,0.0235,0.0181
1262,0.0069390015125687194,PC9.DS8,0.0005,0.0070999999999999995,0.024,0.025,0.0235,0.017900000000000003
1263,0.0014380010712540694,PC9.DS8,0.0005,0.0073,0.024,0.025,0.0235,0.0177
1264,0.00354476215219414,PC9.DS8,0.0005,0.0075,0.024,0.025,0.0235,0.0175
1265,8.684782426052137e-06,PC9.DS8,0.0007,0.0055,0.024,0.025,0.0233,0.019500000000000003
1266,0.00030012736524787044,PC9.DS8,0.0007,0.005699999999999999,0.024,0.025,0.0233,0.0193
1267,0.0008978612833580559,PC9.DS8,0.0007,0.0059,0.024,0.025,0.0233,0.019100000000000002
1268,0.0008558278501384973,PC9.DS8,0.0007,0.0060999999999999995,0.024,0.025,0.0233,0.0189
1269,0.00014665563292649142,PC9.DS8,0.0007,0.0063,0.024,0.025,0.0233,0.0187
1270,9.533337938247599e-05,PC9.DS8,0.0007,0.0065,0.024,0.025,0.0233,0.018500000000000003
1271,0.00032855810041771414,PC9.DS8,0.0007,0.006699999999999999,0.024,0.025,0.0233,0.018300000000000004
1272,0.000780058927889429,PC9.DS8,0.0007,0.0069,0.024,0.025,0.0233,0.0181
1273,0.0004799866278537229,PC9.DS8,0.0007,0.0070999999999999995,0.024,0.025,0.0233,0.017900000000000003
1274,0.004854974656446851,PC9.DS8,0.0007,0.0073,0.024,0.025,0.0233,0.0177
1275,0.0018932376722901802,PC9.DS8,0.0007,0.0075,0.024,0.025,0.0233,0.0175
1276,0.00034199332771335956,PC9.DS8,0.0009,0.0055,0.024,0.025,0.0231,0.019500000000000003
1277,0.0013196143387557426,PC9.DS8,0.0009,0.005699999999999999,0.024,0.025,0.0231,0.0193
1278,0.011616366293061252,PC9.DS8,0.0009,0.0059,0.024,0.025,0.0231,0.019100000000000002
1279,0.10599341263911148,PC9.DS8,0.0009,0.0060999999999999995,0.024,0.025,0.0231,0.0189
1280,0.008751229701259472,PC9.DS8,0.0009,0.0063,0.024,0.025,0.0231,0.0187
1281,0.0402816046519427,PC9.DS8,0.0009,0.0065,0.024,0.025,0.0231,0.018500000000000003
1282,0.02119426527615711,PC9.DS8,0.0009,0.006699999999999999,0.024,0.025,0.0231,0.018300000000000004
1283,0.035054435399918496,PC9.DS8,0.0009,0.0069,0.024,0.025,0.0231,0.0181
1284,0.010535557181141589,PC9.DS8,0.0009,0.0070999999999999995,0.024,0.025,0.0231,0.017900000000000003
1285,0.016325236238828665,PC9.DS8,0.0009,0.0073,0.024,0.025,0.0231,0.0177
1286,0.03343038230260017,PC9.DS8,0.0009,0.0075,0.024,0.025,0.0231,0.0175
1287,0.0036075425462060123,PC9.DS8,0.0011,0.0055,0.024,0.025,0.0229,0.019500000000000003
1288,0.004928838230124029,PC9.DS8,0.0011,0.005699999999999999,0.024,0.025,0.0229,0.0193
1289,0.00010508680043336356,PC9.DS8,0.0011,0.0059,0.024,0.025,0.0229,0.019100000000000002
1290,0.04353609416257318,PC9.DS8,0.0011,0.0060999999999999995,0.024,0.025,0.0229,0.0189
1291,0.11841852940911844,PC9.DS8,0.0011,0.0063,0.024,0.025,0.0229,0.0187
1292,0.03062502566099161,PC9.DS8,0.0011,0.0065,0.024,0.025,0.0229,0.018500000000000003
1293,0.029425046653363398,PC9.DS8,0.0011,0.006699999999999999,0.024,0.025,0.0229,0.018300000000000004
1294,0.08636575802393752,PC9.DS8,0.0011,0.0069,0.024,0.025,0.0229,0.0181
1295,0.021073169386426983,PC9.DS8,0.0011,0.0070999999999999995,0.024,0.025,0.0229,0.017900000000000003
1296,0.027791453832041856,PC9.DS8,0.0011,0.0073,0.024,0.025,0.0229,0.0177
1297,0.018314961385142534,PC9.DS8,0.0011,0.0075,0.024,0.025,0.0229,0.0175
1298,0.036683083105001665,PC9.DS8,0.0013,0.0055,0.024,0.025,0.0227,0.019500000000000003
1299,0.003114276663424564,PC9.DS8,0.0013,0.005699999999999999,0.024,0.025,0.0227,0.0193
1300,0.01909688316624194,PC9.DS8,0.0013,0.0059,0.024,0.025,0.0227,0.019100000000000002
1301,0.024893067277058534,PC9.DS8,0.0013,0.0060999999999999995,0.024,0.025,0.0227,0.0189
1302,0.007911168425959037,PC9.DS8,0.0013,0.0063,0.024,0.025,0.0227,0.0187
1303,0.004936239214197219,PC9.DS8,0.0013,0.0065,0.024,0.025,0.0227,0.018500000000000003
1304,0.0008666617078320408,PC9.DS8,0.0013,0.006699999999999999,0.024,0.025,0.0227,0.018300000000000004
